# BUSCO version is: 3.0.1 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python /scratch/mutemi/BUSCO_Platy_seq/scripts/run_BUSCO.py -i /scratch/mutemi/BUSCO_Platy_seq/platygenome_Seq_Data/platy_canu1.contigs.fasta -o busco_platy_canu1_1_%j -l /scratch/mutemi/BUSCO_Platy_seq/BUSCO_Lineages/metazoa_odb9/ -m genome -c 1 --long -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091G00AH	Fragmented	tig00002110	224959	229972	106.0	108
EOG091G00CM	Missing
EOG091G00GM	Missing
EOG091G00GQ	Missing
EOG091G00L0	Missing
EOG091G00MA	Missing
EOG091G00MI	Missing
EOG091G00Q0	Fragmented	tig00013579	22124	25292	193.7	137
EOG091G00QT	Missing
EOG091G00UD	Missing
EOG091G00VZ	Fragmented	tig00005815	63254	66089	132.9	112
EOG091G00Z3	Missing
EOG091G011X	Missing
EOG091G017G	Missing
EOG091G017T	Missing
EOG091G019V	Missing
EOG091G01EW	Missing
EOG091G01GC	Missing
EOG091G01IW	Complete	tig00248244	21018	28088	229.3	224
EOG091G01LC	Fragmented	tig00050538	1	19085	58.9	106
EOG091G01MK	Fragmented	tig00001658	139688	155507	43.7	50
EOG091G01S9	Missing
EOG091G01TH	Fragmented	tig00001357	268563	272520	89.9	118
EOG091G01TX	Missing
EOG091G01VH	Missing
EOG091G01WY	Missing
EOG091G01XD	Missing
EOG091G01XI	Fragmented	tig00006492	62704	71588	143.1	120
EOG091G01XQ	Missing
EOG091G01Z2	Missing
EOG091G020E	Missing
EOG091G020Y	Fragmented	tig00029066	12358	17053	112.1	72
EOG091G023Z	Missing
EOG091G024J	Missing
EOG091G025T	Missing
EOG091G0262	Missing
EOG091G026F	Missing
EOG091G026I	Fragmented	tig00000836	128684	148899	46.8	34
EOG091G027G	Missing
EOG091G028G	Fragmented	tig00049442	20417	22263	139.6	114
EOG091G0291	Missing
EOG091G029K	Fragmented	tig00008335	90729	100290	101.7	154
EOG091G02B4	Missing
EOG091G02BK	Complete	tig00050300	19701	45062	219.5	296
EOG091G02C8	Complete	tig00009915	32126	41664	67.0	159
EOG091G02E4	Missing
EOG091G02FR	Missing
EOG091G02HY	Missing
EOG091G02IP	Missing
EOG091G02LY	Missing
EOG091G02MR	Missing
EOG091G02NH	Fragmented	tig00001235	9679	22537	209.2	159
EOG091G02NO	Missing
EOG091G02O5	Missing
EOG091G02O6	Missing
EOG091G02OE	Fragmented	tig00015178	20933	27029	46.5	65
EOG091G02P2	Missing
EOG091G02UC	Missing
EOG091G02V5	Missing
EOG091G02VO	Missing
EOG091G02WU	Missing
EOG091G02ZI	Missing
EOG091G0307	Missing
EOG091G031X	Missing
